targets	p_val_ttest_dmsoA_dmso	p_val_ttest_dmsoB_dmso	p_val_ttest_drug1A_drug	p_val_ttest_drug1B_drug	p_val_wil_dmsoA_dmso	p_val_wil_dmsoB_dmso	p_val_wil_drug1A_drug	p_val_wil_drug1B_drug	fdr_vals_ttest_dmsoA_dmso	fdr_vals_ttest_dmsoB_dmso	fdr_vals_ttest_drug1A_drug	fdr_vals_ttest_drug1B_drug	fdr_vals_wil_dmsoA_dmso	fdr_vals_wil_dmsoB_dmso	fdr_vals_wil_drug1A_drug	fdr_vals_wil_drug1B_drug
HNRNPR_SYNCRIP	0.4243503147793035	0.016741641831230888	0.013370030078597139	0.22261349195265212	0.3716943834519269	0.008171976092709147	1.2507854435234771e-4	0.21884441390892076	0.6504178931885158	0.11495927390778542	0.10512313725919888	0.45584870121517235	0.5853902369349919	0.05445820942208173	0.005601343507952963	0.42370253068832403
SYNGR3_SYNGR1	0.018999731200053053	0.7061692818414909	0.5195244202866456	4.1658976795671995e-6	0.09246766356323667	0.5562600714363666	0.28954053231559657	2.2381772610489015e-5	0.12450633736956379	0.8547054762593838	0.7345734062329968	6.937318700563528e-4	0.2690443318365361	0.7345485558710995	0.5236885838805424	0.0014619521790944375
SYP_SYNPR	0.10892166058792924	0.7028771827928613	0.6469033363036545	0.10190977339342923	0.08800146481676778	0.5491467648907147	0.6767696858744825	0.08415788556246294	0.33489346389721525	0.8537305404205744	0.8278106333055087	0.28783494370597507	0.26046410563583566	0.7288932575224693	0.8220197835503738	0.23964828652379422
SYT4_SYT11	0.15907869567868455	0.3279576046581907	0.0018087401294592006	0.026043475120441324	0.057590670089784406	0.2924468939962542	3.377201914622298e-4	0.022579868395848156	0.3893758728028793	0.5404741324766982	0.038020455782509725	0.13545600020934795	0.2010792887880608	0.4832436883676833	0.011221025716325701	0.10463835225376092
TACR3_TACR1	0.05885103505965965	0.5090064529489906	0.015649663965444503	0.20069988072130163	0.03992644700659885	0.23228947218918605	0.001967892632930219	0.22409265073700402	0.23090487870881973	0.700529797951508	0.1135151682000552	0.4279935344574341	0.16127153104626202	0.4371053019543054	0.025986274511770838	0.4273109115400426
TAF1L_TAF1	0.03528968971606017	0.04733499513280215	0.03052243532084	0.6710336674344394	0.021898754696739884	0.024415947208399996	0.06908128434299032	0.838481355664924	0.17739537028361982	0.2057174893957224	0.15820635404125452	0.8055532371299214	0.11334531325448283	0.11349664407688878	0.2196102557817285	0.9129342455971159
TAF9B_TAF9	0.33352250424738494	0.3471827356593339	0.01740385442839833	0.005912714914874491	0.6522822669331696	0.28111382510935423	0.014670335385465055	0.0014575999043287917	0.5715943084439375	0.5587472152017404	0.12278061685787864	0.07026871682294784	0.8143645272014117	0.47701357473251216	0.08836517805280121	0.020403919545230718
TANC2_TANC1	0.6089955208839826	0.22473568470925911	0.24246022644136067	0.7366804810307965	0.8711118669705841	0.3693118627479394	0.2327080623285321	0.6626463672792936	0.7705962979244496	0.4574659194674642	0.5079307881261871	0.8459095824545378	0.9385726127150787	0.5652172639381539	0.46237150437940977	0.7987308284670548
TAOK3_TAOK1	0.004155726921707541	0.6614558242655673	0.015004618052061179	0.06350988678113553	0.0027911381885139695	0.9907419060968682	0.020512219334419605	0.00568329531412701	0.047089538617197585	0.824817795391688	0.11199098980886243	0.22403861700726801	0.027643003213167195	0.9933003808789801	0.10659016429461635	0.04720801752863565
TAS2R40_TAS2R39	0.3010603492254259	0.18261584713721432	0.06004449294163395	0.004832748281848707	0.4339866311806432	0.27147608012031094	0.030243239239264943	8.981071798771389e-4	0.5421191603185117	0.41798738344740166	0.23250311176647734	0.06685922868043827	0.6422503306265265	0.4733338119546919	0.1331219504976192	0.015164760578253328
