targets	p_val_ttest_Day05_RepA_early	p_val_ttest_Day22_RepA_late	p_val_ttest_Day22_RepB_late	p_val_ttest_Day22_RepC_late	p_val_wil_Day05_RepA_early	p_val_wil_Day22_RepA_late	p_val_wil_Day22_RepB_late	p_val_wil_Day22_RepC_late	fdr_vals_ttest_Day05_RepA_early	fdr_vals_ttest_Day22_RepA_late	fdr_vals_ttest_Day22_RepB_late	fdr_vals_ttest_Day22_RepC_late	fdr_vals_wil_Day05_RepA_early	fdr_vals_wil_Day22_RepA_late	fdr_vals_wil_Day22_RepB_late	fdr_vals_wil_Day22_RepC_late
NXPH2_NXPH1	0.9720877214615942	0.8425880495782403	0.6976923956466037	0.07317433681766167	0.616257871643136	0.8767934141032073	0.9798648717529576	0.06541704782916899	0.991608029745983	0.9245621987300578	0.8514492506113766	0.1939604909690858	0.798066614522191	0.9319888715441729	0.9885022702307017	0.16545869922485812
NXT2_NXT1	0.2999230117789472	0.02048536551298668	0.26546275727870977	0.0034951304247669095	0.36469410718688705	0.0015941757044437407	0.14180968164405627	0.0010307402553014298	0.5363206634241591	0.09461850438733757	0.46980522336266506	0.028799874700079334	0.5971938480166831	0.01453098208475268	0.29389129193838626	0.008229941573336997
OBP2B_OBP2A	9.133517056837513e-4	0.12279595409121213	0.047746405612885345	0.20502907712396348	0.0016346163400942314	0.07436287925898015	0.023312615273369756	0.10153092998798792	0.02838938909138738	0.28106629491988555	0.1536837430664747	0.3874861457572154	0.03421139320117351	0.18958852880383553	0.07935633030715421	0.2303455019551268
OCM2_OCM	0.048700482800601234	0.24352508056898461	0.2341009006506261	0.032578367917728786	0.029354626954713192	0.30128319732070935	0.15883726782211827	0.04276236119670067	0.2047390194505562	0.4398348398368385	0.43840714121844526	0.1189490742451958	0.15117632881677295	0.482615386065833	0.3116235921081558	0.12234786675722692
OGDHL_OGDH	0.051674213449252965	0.8163281248068064	2.7591912972741468e-5	0.7080386440579287	0.15326989122135143	0.7097984487786326	4.178787163925772e-6	0.9366235801726236	0.20629627849895563	0.9073975152339735	0.0016717453154072772	0.8359377012307058	0.3758761618047428	0.834295943541733	2.2653425151808132e-4	0.9804088288392299
OSBP2_OSBP	0.45192688059614705	0.7976300977482589	0.0404122774124773	0.5365433873625152	0.25575825968253935	0.7185888518470547	0.02547376528145045	0.2699354139779582	0.6716950750563224	0.8949444451859551	0.14010232925719923	0.7036018029590845	0.501647282878432	0.8390388187265607	0.08436648951734393	0.44062357590696827
OSBPL11_OSBPL10	0.619690559790488	0.05034675092448695	0.2683577391382822	0.8373344115973662	0.8861909164980866	0.08078777211015839	0.6538208916872534	0.344848034895639	0.7946440398621243	0.1722829018346231	0.4715532893546101	0.9155567345491371	0.9679497815408581	0.1981223935082456	0.8036223370380323	0.5220962462508384
OSBPL8_OSBPL5	0.0955489463358877	0.07511335643207115	0.008514515388863277	0.09798030378705005	0.04165322720393277	7.357539808716573e-4	0.0035149211398536008	0.1639235135229346	0.2965828210585489	0.21254603605778374	0.052202088396007	0.24201370000158648	0.1841322919315483	0.008218135086415657	0.021678854934426398	0.32038181959890444
OTUD7B_OTUD7A	0.1288953360876963	0.12395944919873464	0.0368270243755034	0.006485518286973951	0.13577787510407502	0.14784892520536053	0.004598206973160393	0.0036114463540171233	0.33695988875717564	0.28185040325540106	0.13309415826936316	0.040546378735912186	0.3505124180552183	0.2949158252118244	0.026262882014509704	0.020851786832077782
OXCT2_OXCT1	0.08986102054396211	0.7028953084710898	0.4159025446004063	0.16361526279600974	0.07465344920325354	0.5544260198065891	0.4606478454716373	0.34752030532585293	0.2894926250806651	0.84478666012278	0.6226447978756083	0.3370474413597801	0.24645209192099723	0.7256147400264127	0.6526372501180006	0.5226671791505733
